target_bin,mean,count,win_pct
<140,0.8222222222222222,225,82.22222222222221
140–160,0.7142857142857143,252,71.42857142857143
160–180,0.5227272727272727,308,52.27272727272727
180–200,0.3824884792626728,217,38.24884792626728
200+,0.225130890052356,191,22.5130890052356
