phase,avg_runs,avg_wickets,avg_rr
Powerplay (1–6),8.045762827978352,0.24189902034664656,7.7422808072701885
Middle (7–15),7.907387605188526,0.2598912083313962,7.679408710216744
Death (16–20),9.759727535690958,0.4931417374265186,9.638950859721598
